name,link,price,location,picture,installment,extra,day,site
12x Placas de Vídeo PCI AGP GeForce AMD Radeon GeoVision Quadro,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/12x-placas-de-video-pci-agp-geforce-amd-radeon-geovision-quadro-1408206400,R$ 700,"Belo Horizonte, Cidade Nova",https://img.olx.com.br/images/72/722554049595501.webp,"3x de R$ 233,33","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","29 de mai, 17:23",OLX
"NOVA, com Garantia! Placa de Vídeo GPU AMD Radeon RX470 4GB Mllse",https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/nova-com-garantia-placa-de-video-gpu-amd-radeon-rx470-4gb-mllse-1407731467,R$ 475,"Três Corações, Parque Bandeirantes",https://img.olx.com.br/images/77/772559648199954.webp,"3x de R$ 158,33","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","28 de mai, 06:48",OLX
Lote placas video ,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/lote-placas-video-1396061128,R$ 150,"Uberlândia, Nossa Senhora das Graças",https://img.olx.com.br/images/11/118560409831353.webp,"3x de R$ 50,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","19 de mai, 09:54",OLX
Kit com duas placas vídeo gforce Nvidia gt 7300 - 256mb cada placa,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/kit-com-duas-placas-video-gforce-nvidia-gt-7300-256mb-cada-placa-1327995557,R$ 300,Mariana,https://img.olx.com.br/images/88/884408676057570.webp,"3x de R$ 100,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","19 de mai, 08:22",OLX
NVIDIA Placa de Vídeo 1060 6gb - Dell,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/nvidia-placa-de-video-1060-6gb-dell-1404898379,R$ 700,"Vespasiano, Nova Pampulha 3ª e 4ª Seção",https://img.olx.com.br/images/95/959514649440037.webp,"3x de R$ 233,33","['Frete grátis', 'Pague Online', 'Parcelamento sem juros']","18 de mai, 17:31",OLX
Caixa Placa de Vídeo GTX 1660 Super,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/caixa-placa-de-video-gtx-1660-super-1393721102,R$ 50,"Ubá, Paulino Fernandes IV",https://img.olx.com.br/images/14/142569156265745.webp,"1x de R$ 50,00","['Entrega Fácil', 'Pague Online']","12 de mai, 14:43",OLX
Adquiro placa de video com defeito,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/adquiro-placa-de-video-com-defeito-1360910682,R$ 100,"Ribeirão das Neves, Veneza",https://img.olx.com.br/images/96/963508519285286.webp,"3x de R$ 33,33","['Pague Online', 'Parcelamento sem juros']","12 de mai, 10:22",OLX
Kit Placas de Video UMA 3060ti / CINCO 1660 super / 01 Fonte CORSAIR 750W,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/kit-placas-de-video-uma-3060ti-cinco-1660-super-01-fonte-corsair-750w-1402884873,R$ 7.999,"Belo Horizonte, Sagrada Família",https://img.olx.com.br/images/27/271581767355985.webp,"3x de R$ 2.666,33","['Frete grátis', 'Pague Online', 'Parcelamento sem juros']","12 de mai, 08:51",OLX
"Kit placa mãe asrock 1155, placa de video gtx 1650 8gb, intel i5 3º, 2x ram 8gb",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/kit-placa-mae-asrock-1155-placa-de-video-gtx-1650-8gb-intel-i5-3-2x-ram-8gb-1408065756,R$ 1.450,"Belo Horizonte, Padre Eustáquio",https://img.olx.com.br/images/64/642594406110528.webp,"3x de R$ 483,33","['Pague Online', 'Parcelamento sem juros']","29 de mai, 09:16",OLX
"Kit 3 placas de vídeo para teste/peças - GT 730, GT 210, Radeon HD 5750",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/kit-3-placas-de-video-para-teste-pecas-gt-730-gt-210-radeon-hd-5750-1399538206,R$ 100,"Contagem, Jardim Bandeirantes",https://img.olx.com.br/images/14/148506272692975.webp,"3x de R$ 33,33","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","30 de mai, 05:30",OLX
